"colony_id","spp","species","year","area_cm2","competition_id","competition_number","competition_outliner_name","competition_taxon","competition_growthform","competition_length_cm","competition","competition_type","competition_outcome"
10,"AC","Acropora cytherea",2009,2395.27795877525,108,8,"mariana","Acropora","Digitate",2.884665392,"certain","Digestion","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,114,4,"mariana","Soft coral","Cuneiform",15.96752269,"certain","Digestion","lost"
10,"AC","Acropora cytherea",2010,2858.86938493805,113,3,"mariana","Soft coral","Cuneiform",3.398216368,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,117,7,"mariana","Isopora","Cuneiform",11.50480481,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,112,2,"mariana","Soft coral","Cuneiform",4.872141539,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,121,11,"mariana","Acropora","Tabular",27.30855804,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,120,10,"mariana","Soft coral","Encrusting",17.23673603,"uncertain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,116,6,"mariana","Fleshy macroalga","Branching",12.07799793,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,115,5,"mariana","Soft coral","Cuneiform",8.843551029,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,111,1,"mariana","Soft coral","Encrusting",15.80375323,"certain","Overtop","won"
10,"AC","Acropora cytherea",2010,2858.86938493805,118,8,"mariana","Acropora","Digitate",6.55077854,"certain","Digestion","lost"
10,"AC","Acropora cytherea",2010,2858.86938493805,119,9,"mariana","Acropora","Digitate",24.97484318,"certain","Overtop","lost"
10,"AC","Acropora cytherea",2011,3426.84632565726,3274,5,"mariana","Acropora","Digitate",48.45976847,"certain","Overtop","lost"
10,"AC","Acropora cytherea",2011,3426.84632565726,3273,4,"mariana","Isopora","Cuneiform",12.56364368,"certain","Overtop","won"
10,"AC","Acropora cytherea",2011,3426.84632565726,3275,6,"mariana","Soft coral","Encrusting",24.82815298,"certain","Overtop","won"
10,"AC","Acropora cytherea",2011,3426.84632565726,3276,7,"mariana","Acropora","Tabular",48.75890284,"certain","Overtop","won"
10,"AC","Acropora cytherea",2011,3426.84632565726,3272,3,"mariana","Acropora","Corymbose",9.956901281,"certain","Overtop","lost"
10,"AC","Acropora cytherea",2011,3426.84632565726,3271,2,"mariana","Soft coral","Cuneiform",6.367288802,"certain","Overtop","won"
10,"AC","Acropora cytherea",2011,3426.84632565726,3270,1,"mariana","Soft coral","Cuneiform",18.16172981,"certain","Digestion","lost"
10,"AC","Acropora cytherea",2011,3426.84632565726,3278,9,"mariana","Favid","Massive",10.51243655,"certain","Overtop","won"
10,"AC","Acropora cytherea",2011,3426.84632565726,3277,8,"mariana","Soft coral","Encrusting",11.70897404,"certain","Overtop","won"
10,"AC","Acropora cytherea",2012,881.85110976357,122,1,"mariana","Acropora","Tabular",19.6745139,"certain","Overtop","won"
11,"AC","Acropora cytherea",2009,708.30078569912,374,4,"Theo","Uncertain","Encrusting",1.591923299,"uncertain","Overtop","won"
11,"AC","Acropora cytherea",2009,708.30078569912,373,3,"Theo","Acropora","Tabular",41.39000577,"certain","Overtop","won"
